IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
HG03449	1.0179433099999995	Intermediate	78.55431309904152	HG03449	MSL	AFR	female
HG03451	1.1489298330000002	High	90.09584664536742	HG03451	MSL	AFR	male
HG03452	0.83836938	Intermediate	57.34824281150159	HG03452	MSL	AFR	female
HG03455	0.82057008	Intermediate	55.3514376996805	HG03455	MSL	AFR	female
HG03457	1.00729829	Intermediate	77.59584664536742	HG03457	MSL	AFR	male
HG03458	1.3096071799999998	High	97.72364217252397	HG03458	MSL	AFR	female
HG03460	0.994321268	Intermediate	75.9185303514377	HG03460	MSL	AFR	male
HG03461	1.1578088599999998	High	90.93450479233228	HG03461	MSL	AFR	female
HG03464	1.21176124	High	94.24920127795528	HG03464	MSL	AFR	female
HG03469	1.1493792599999997	High	90.17571884984024	HG03469	MSL	AFR	male
HG03470	1.19811414	High	93.61022364217251	HG03470	MSL	AFR	female
HG03472	1.1867812899999997	High	92.97124600638978	HG03472	MSL	AFR	male
HG03473	1.04353576	High	80.870607028754	HG03473	MSL	AFR	female
HG03476	1.0343176656	High	80.19169329073482	HG03476	MSL	AFR	female
HG03478	0.6929811999999999	Intermediate	44.20926517571885	HG03478	MSL	AFR	male
HG03479	1.02440348	Intermediate	79.31309904153355	HG03479	MSL	AFR	female
HG03484	0.81620119	Intermediate	54.99201277955271	HG03484	MSL	AFR	male
HG03485	1.00965947	Intermediate	77.79552715654951	HG03485	MSL	AFR	female
HG03488	0.512951972	Intermediate	29.99201277955272	HG03488	PJL	SAS	female
HG03490	0.69085897	Intermediate	44.04952076677316	HG03490	PJL	SAS	male
HG03491	0.56137953	Intermediate	33.38658146964856	HG03491	PJL	SAS	female
HG03499	1.0890395000000004	High	85.10383386581469	HG03499	ESN	AFR	female
HG03511	1.1446631400000002	High	89.6964856230032	HG03511	ESN	AFR	female
HG03514	1.1182521999999997	High	87.5	HG03514	ESN	AFR	female
HG03515	1.3969038560000002	High	99.0814696485623	HG03515	ESN	AFR	male
HG03517	1.15753576	High	90.89456869009584	HG03517	ESN	AFR	female
HG03518	1.00458406	Intermediate	77.15654952076677	HG03518	ESN	AFR	male
HG03520	1.04545949	High	81.11022364217251	HG03520	ESN	AFR	female
HG03521	0.983045701	Intermediate	74.80031948881789	HG03521	ESN	AFR	male
HG03538	1.36510504	High	98.76198083067092	HG03538	GWD	AFR	male
HG03539	1.043879618	High	80.99041533546327	HG03539	GWD	AFR	female
HG03547	0.9398383699999998	Intermediate	69.60862619808307	HG03547	MSL	AFR	male
HG03548	1.0734352100000002	High	83.6261980830671	HG03548	MSL	AFR	female
HG03556	1.0023110219999998	Intermediate	76.8370607028754	HG03556	MSL	AFR	male
HG03557	1.0697763800000002	High	83.22683706070288	HG03557	MSL	AFR	female
HG03558	1.00158963	Intermediate	76.71725239616613	HG03558	MSL	AFR	female
HG03559	1.1245916250000003	High	88.29872204472844	HG03559	MSL	AFR	male
HG03563	0.5633607979999998	Intermediate	33.50638977635783	HG03563	MSL	AFR	female
HG03565	1.2497749699999998	High	95.64696485623004	HG03565	MSL	AFR	male
HG03567	0.9702289	Intermediate	73.44249201277955	HG03567	MSL	AFR	female
HG03571	1.31645062	High	98.04313099041534	HG03571	MSL	AFR	male
HG03572	1.0206638610000005	Intermediate	78.91373801916933	HG03572	MSL	AFR	female
HG03575	0.936767306	Intermediate	69.28913738019169	HG03575	MSL	AFR	female
HG03577	1.20095925	High	93.69009584664538	HG03577	MSL	AFR	male
HG03578	0.97345101	Intermediate	74.0814696485623	HG03578	MSL	AFR	female
HG03583	1.04683014	High	81.34984025559106	HG03583	MSL	AFR	female
