IID	PRS
HG01348	-3.8752950000000004
HG01350	-4.284097999999999
HG01351	-3.5310629699999994
HG01353	-3.5030052000000005
HG01354	-3.1040905
HG01356	-3.389139299999999
HG01357	-3.3996727999999994
HG01359	-2.2011895000000004
HG01360	-3.350416
HG01362	-2.96102712
HG01363	-3.56938548
HG01365	-3.3429883000000005
HG01366	-3.4859637
HG01369	-1.1349730000000002
HG01372	-3.1994187999999997
HG01374	-2.8265499000000003
HG01375	-2.9703309000000013
HG01377	-3.4161130999999996
HG01378	-4.096372099999999
HG01383	-3.9558055999999997
HG01384	-3.1706456889999997
HG01389	-4.0443695
HG01390	-2.6927071000000007
HG01392	-2.8935451
HG01393	-1.71626974
HG01395	-3.284542
HG01396	-3.7747261000000005
HG01398	-1.7123082999999997
HG01402	-1.6359863999999995
HG01403	-2.2867658
HG01405	-2.9859054999999994
HG01412	-2.996003199999999
HG01413	-2.9996609000000003
HG01414	-3.8260851000000002
HG01431	-3.7005792999999993
HG01432	-4.4733978
HG01435	-3.9628805000000007
HG01437	-1.3092928000000008
HG01438	-1.9375505999999998
HG01440	-2.7605803000000004
HG01441	-3.5565693999999994
HG01443	-3.3308820999999993
HG01444	-3.5234949999999996
HG01447	-2.4295450000000005
HG01455	-4.1448585
HG01456	-2.0581730799999995
HG01459	-4.601859200000001
HG01461	-2.3706758
HG01462	-1.2077030300000005
HG01464	-3.5534567999999997
HG01465	-3.0810462999999997
HG01468	-2.7136402
HG01474	-3.0640549000000012
HG01479	-2.6579270000000004
HG01485	-1.2150206
HG01486	-3.7443789000000005
HG01488	-3.6200511650000005
HG01489	-2.019275499999999
HG01491	-2.8128664999999997
HG01492	0.3347559000000001
HG01494	-3.4284524
HG01495	-2.9305645
HG01497	-4.029151
HG01498	-3.5270624999999995
HG01500	-2.1764412999999996
HG01501	-0.8247665000000002
HG01503	-2.554627700000001
HG01504	-2.5497858
HG01506	-2.2205523000000005
HG01507	-2.3000708999999997
HG01509	-4.456447899999999
HG01510	-1.5038543999999998
HG01512	-2.5707620999999996
HG01513	-2.2564176999999996
HG01515	-3.618780399999999
HG01516	-4.394355200000001
HG01518	-3.3935198
HG01519	-3.058338499999999
HG01521	-5.036680699999999
HG01522	-2.1608874
HG01524	-3.750947699999999
HG01525	-3.694720760000001
HG01527	-2.2030876
HG01528	-4.4619831
HG01530	-3.5651913
HG01531	-2.4024818709999995
HG01536	-3.1608689
HG01537	-2.2337013000000008
HG01550	-3.859015440000001
HG01551	-2.0914023999999998
HG01556	-3.34041454
HG01565	-2.7880183000000005
HG01566	-2.2327279099999995
HG01571	-2.681348500000001
HG01572	-2.7328142609999997
HG01577	-3.5009652000000004
HG01578	-1.22402704
HG01583	-1.9606944999999998
HG01586	-0.3912555000000004
HG01589	-2.0164551999999993
HG01593	-1.6345949000000006
HG01595	-3.7346155000000008
HG01596	-3.4978996
HG01597	-3.9428571999999997
HG01598	-2.5087467999999995
HG01599	-2.3718636
HG01600	-3.056071200000001
HG01602	-2.958107000000001
HG01603	-2.995550549999999
HG01605	-1.4112928000000005
HG01606	-3.9612956000000006
HG01607	-3.48237467
HG01608	-2.9317516000000006
HG01610	-1.5780661000000002
HG01612	-4.1170483
HG01613	-2.447319799999999
HG01615	-4.2136936999999985
HG01617	-2.0919651959999994
HG01618	-3.3712598900000006
HG01619	-2.5048998999999994
HG01620	-2.9214980000000006
HG01623	-3.1066679
HG01624	-2.3244508
