IID	PRS
HG01606	-20.236399999999996
HG01607	-22.148199999999996
HG01608	-21.2205
HG01610	-23.194099999999995
HG01612	-23.047599999999992
HG01613	-19.830800000000004
HG01615	-18.5831
HG01617	-20.047100000000004
HG01618	-22.907700000000002
HG01619	-23.630900000000008
HG01620	-21.6349
HG01623	-20.158700000000003
HG01624	-19.479999999999997
HG01625	-19.7995
HG01626	-24.297199999999993
HG01628	-21.585800000000003
HG01630	-19.200699999999998
HG01631	-24.588499999999996
HG01632	-22.987000000000002
HG01668	-22.912100000000002
HG01669	-21.437800000000003
HG01670	-21.305999999999997
HG01672	-24.613199999999992
HG01673	-20.438500000000005
HG01675	-23.748099999999997
HG01676	-21.8417
HG01678	-20.423199999999998
HG01679	-24.104899999999997
HG01680	-21.1644
HG01682	-21.795900000000003
HG01684	-23.946000000000005
HG01685	-22.3197
HG01686	-20.1312
HG01694	-22.393799999999995
HG01695	-22.914099999999998
HG01697	-20.168699999999994
HG01699	-26.0748
HG01700	-21.7057
HG01702	-21.252100000000002
HG01704	-21.1221
HG01705	-20.729700000000005
HG01707	-22.806599999999992
HG01708	-20.102500000000003
HG01709	-22.484100000000005
HG01710	-20.4777
HG01746	-22.394000000000002
HG01747	-25.899
HG01756	-20.111300000000004
HG01757	-22.148600000000002
HG01761	-23.327900000000003
HG01762	-22.564100000000003
HG01765	-23.881099999999996
HG01766	-20.6618
HG01767	-22.4419
HG01768	-18.193699999999996
HG01770	-19.618699999999997
HG01771	-20.020799999999998
HG01773	-21.9391
HG01775	-18.912900000000004
HG01776	-21.326399999999996
HG01777	-22.131599999999995
HG01779	-20.487700000000004
HG01781	-18.793500000000005
HG01783	-21.747300000000006
HG01784	-21.124600000000008
HG01785	-20.0212
HG01786	-18.802799999999998
HG01789	-23.940199999999997
HG01790	-22.813099999999995
HG01791	-22.008899999999997
HG01794	-21.037300000000002
HG01795	-23.3929
HG01796	-21.264000000000003
HG01797	-21.1005
HG01798	-20.3646
HG01799	-20.306799999999996
HG01800	-22.703200000000002
HG01801	-21.409900000000007
HG01802	-21.610899999999994
HG01804	-20.1179
HG01805	-22.927900000000005
HG01806	-23.118399999999994
HG01807	-24.4173
HG01808	-21.3546
HG01809	-23.614500000000003
HG01810	-22.807299999999994
HG01811	-22.166299999999996
HG01812	-24.1308
HG01813	-21.15340000000001
HG01815	-25.5546
HG01816	-24.060299999999998
HG01817	-21.071699999999996
HG01840	-22.0388
HG01841	-20.4175
HG01842	-21.168800000000008
HG01843	-21.2706
HG01844	-24.644900000000007
HG01845	-22.397
HG01846	-21.6407
HG01847	-20.368699999999997
HG01848	-20.264499999999998
HG01849	-20.743499999999997
HG01850	-20.357699999999998
HG01851	-19.119500000000002
HG01852	-21.138000000000005
HG01853	-24.792699999999993
HG01855	-24.041499999999996
HG01857	-19.1422
HG01858	-22.050699999999996
HG01859	-24.733000000000004
HG01860	-22.216
HG01861	-23.203400000000006
HG01862	-22.4527
HG01863	-23.628800000000002
HG01864	-22.453500000000005
HG01865	-22.757200000000005
HG01866	-19.95490000000001
HG01867	-22.8994
HG01868	-21.307100000000002
HG01869	-22.554399999999994
HG01870	-19.8619
HG01871	-20.180600000000005
HG01872	-20.7218
HG01873	-19.6748
HG01874	-22.353000000000005
HG01878	-20.7543
HG01879	-21.291599999999995
HG01880	-21.928499999999996
HG01882	-22.6311
HG01883	-22.299400000000002
HG01885	-21.04669999999999
HG01886	-20.883
HG01889	-24.047300000000003
HG01890	-22.1067
HG01892	-22.119400000000002
HG01893	-21.574199999999998
HG01894	-21.167599999999997
HG01896	-23.467299999999998
HG01912	-21.5665
HG01914	-21.518200000000004
HG01915	-20.1177
HG01917	-23.2075
HG01918	-22.875299999999996
