IID	PRS	PRS_Group
HG00378	-20.9593	Intermediate
HG00379	-20.973899999999997	Intermediate
HG00380	-19.053600000000003	High
HG00381	-20.7814	Intermediate
HG00382	-22.9088	Intermediate
HG00383	-21.2806	Intermediate
HG00384	-26.1242	Low
HG00403	-23.692400000000003	Low
HG00404	-22.86370000000001	Intermediate
HG00406	-22.1274	Intermediate
HG00407	-22.154	Intermediate
HG00409	-22.207000000000004	Intermediate
HG00410	-22.152099999999997	Intermediate
HG00419	-23.5508	Low
HG00421	-23.0767	Intermediate
HG00422	-22.0475	Intermediate
HG00428	-22.0368	Intermediate
HG00436	-19.9197	High
HG00437	-22.4386	Intermediate
HG00442	-22.1691	Intermediate
HG00443	-23.135900000000003	Intermediate
HG00445	-20.037	High
HG00446	-21.62710000000001	Intermediate
HG00448	-19.1711	High
HG00449	-22.4903	Intermediate
HG00451	-22.184899999999995	Intermediate
HG00452	-21.5997	Intermediate
HG00457	-19.925	High
HG00458	-21.229100000000003	Intermediate
HG00463	-23.15	Intermediate
HG00464	-23.070500000000003	Intermediate
HG00472	-23.5013	Low
HG00473	-22.7463	Intermediate
HG00475	-21.74339999999999	Intermediate
HG00476	-22.3391	Intermediate
HG00478	-21.9441	Intermediate
HG00479	-22.5951	Intermediate
HG00500	-23.726800000000004	Low
HG00513	-23.527400000000004	Low
HG00524	-22.3988	Intermediate
HG00525	-21.3719	Intermediate
HG00530	-22.663	Intermediate
HG00531	-19.341100000000004	High
HG00533	-21.222	Intermediate
HG00534	-20.9551	Intermediate
HG00536	-21.4373	Intermediate
HG00537	-24.053899999999995	Low
HG00542	-20.247200000000003	High
HG00543	-19.8464	High
HG00551	-20.965699999999995	Intermediate
HG00553	-24.7648	Low
HG00554	-20.401499999999995	Intermediate
HG00556	-23.265300000000003	Low
HG00557	-20.253	High
HG00559	-20.6127	Intermediate
HG00560	-21.639700000000005	Intermediate
HG00565	-20.4387	Intermediate
HG00566	-19.6308	High
HG00580	-19.2822	High
HG00581	-22.826200000000004	Intermediate
HG00583	-20.2387	High
HG00584	-20.798800000000007	Intermediate
HG00589	-20.1678	High
HG00590	-20.6349	Intermediate
HG00592	-19.7768	High
HG00593	-22.6637	Intermediate
HG00595	-22.1128	Intermediate
HG00596	-19.7593	High
HG00598	-21.3884	Intermediate
HG00599	-22.885599999999997	Intermediate
HG00607	-22.478500000000004	Intermediate
HG00608	-23.56	Low
HG00610	-23.263200000000005	Low
HG00611	-23.7709	Low
HG00613	-22.034	Intermediate
HG00614	-21.0524	Intermediate
HG00619	-24.7734	Low
HG00620	-19.568500000000004	High
HG00622	-22.403400000000005	Intermediate
HG00623	-19.8635	High
HG00625	-23.4404	Low
HG00626	-20.754900000000003	Intermediate
HG00628	-23.8658	Low
HG00629	-23.3564	Low
HG00631	-22.697599999999994	Intermediate
HG00632	-21.928599999999992	Intermediate
HG00634	-20.7734	Intermediate
HG00637	-23.21860000000001	Intermediate
HG00638	-21.781199999999995	Intermediate
HG00640	-23.7569	Low
HG00641	-22.422000000000004	Intermediate
HG00650	-20.270499999999995	High
HG00651	-21.9397	Intermediate
HG00653	-20.7773	Intermediate
HG00654	-23.8224	Low
HG00656	-23.58470000000001	Low
HG00657	-22.463200000000004	Intermediate
HG00662	-22.9763	Intermediate
HG00663	-23.8834	Low
HG00671	-22.8861	Intermediate
HG00672	-21.6445	Intermediate
HG00674	-22.6218	Intermediate
HG00675	-22.6325	Intermediate
HG00683	-23.388400000000008	Low
HG00684	-23.5706	Low
HG00689	-20.788200000000003	Intermediate
HG00690	-23.35029999999999	Low
HG00692	-22.137500000000003	Intermediate
HG00693	-20.588199999999997	Intermediate
HG00698	-21.29210000000001	Intermediate
HG00699	-21.5724	Intermediate
HG00701	-21.6891	Intermediate
HG00704	-21.6265	Intermediate
HG00705	-20.770099999999992	Intermediate
HG00707	-19.9971	High
HG00708	-23.229800000000008	Intermediate
HG00717	-22.890000000000004	Intermediate
HG00728	-21.5975	Intermediate
HG00729	-22.8351	Intermediate
HG00731	-19.474000000000004	High
HG00732	-27.2468	Low
HG00734	-21.1411	Intermediate
HG00736	-18.2229	High
HG00737	-21.185	Intermediate
HG00739	-25.5386	Low
HG00740	-26.195400000000006	Low
HG00742	-20.2502	High
HG00743	-23.74150000000001	Low
HG00759	-18.669999999999995	High
HG00766	-22.6935	Intermediate
HG00844	-21.7865	Intermediate
HG00851	-22.190200000000004	Intermediate
HG00864	-24.0232	Low
HG00867	-23.0717	Intermediate
HG00879	-22.8612	Intermediate
HG00881	-20.66209999999999	Intermediate
HG00956	-21.4423	Intermediate
HG00978	-23.4737	Low
HG00982	-20.9762	Intermediate
HG01028	-22.029599999999995	Intermediate
HG01029	-21.237500000000004	Intermediate
HG01031	-23.810600000000004	Low
HG01046	-21.9939	Intermediate
HG01047	-20.70770000000001	Intermediate
HG01048	-23.462100000000003	Low
HG01049	-20.2699	High
HG01051	-22.1728	Intermediate
HG01052	-23.6462	Low
HG01054	-23.377400000000005	Low
HG01055	-21.3243	Intermediate
HG01058	-24.6213	Low
HG01060	-21.9667	Intermediate
HG01061	-20.7312	Intermediate
HG01063	-21.3825	Intermediate
HG01064	-21.241	Intermediate
HG01066	-18.395699999999994	High
HG01067	-22.22150000000001	Intermediate
HG01069	-20.304600000000004	High
HG01070	-18.787099999999995	High
HG01072	-21.9383	Intermediate
HG01073	-19.716300000000004	High
HG01075	-23.090200000000003	Intermediate
HG01077	-22.9421	Intermediate
HG01079	-20.4716	Intermediate
HG01080	-21.9779	Intermediate
HG01082	-23.3662	Low
HG01083	-23.8115	Low
HG01085	-18.7445	High
HG01086	-21.5855	Intermediate
HG01088	-20.8955	Intermediate
HG01089	-23.9682	Low
HG01092	-23.452800000000003	Low
HG01094	-23.4216	Low
HG01095	-18.59820000000001	High
HG01097	-20.2596	High
HG01098	-19.436100000000003	High
HG01101	-19.990399999999998	High
HG01102	-23.867600000000003	Low
HG01104	-18.7991	High
HG01105	-19.492999999999995	High
HG01107	-23.7086	Low
HG01108	-23.849100000000004	Low
HG01110	-21.9247	Intermediate
HG01111	-23.7125	Low
HG01112	-22.6103	Intermediate
HG01113	-21.508699999999997	Intermediate
HG01119	-22.7364	Intermediate
HG01121	-24.715	Low
HG01122	-19.1912	High
HG01124	-21.72770000000001	Intermediate
HG01125	-22.878799999999995	Intermediate
HG01130	-21.4424	Intermediate
HG01131	-20.628100000000003	Intermediate
HG01133	-21.873200000000004	Intermediate
HG01134	-19.656599999999997	High
HG01136	-22.3429	Intermediate
HG01137	-24.0402	Low
HG01139	-21.438300000000005	Intermediate
HG01140	-23.2637	Low
HG01142	-20.3794	Intermediate
HG01148	-23.0832	Intermediate
HG01149	-22.904	Intermediate
HG01161	-18.5299	High
HG01162	-20.0067	High
HG01164	-23.7634	Low
HG01167	-21.79040000000001	Intermediate
HG01168	-20.1805	High
HG01170	-22.799499999999995	Intermediate
HG01171	-19.4292	High
HG01173	-19.3382	High
HG01174	-21.93640000000001	Intermediate
HG01176	-21.8734	Intermediate
HG01177	-23.7038	Low
HG01182	-21.8724	Intermediate
HG01183	-19.67590000000001	High
HG01187	-19.2404	High
HG01188	-20.5708	Intermediate
HG01190	-24.330700000000004	Low
HG01191	-19.526099999999992	High
HG01197	-25.141400000000004	Low
HG01198	-24.5017	Low
HG01200	-24.754399999999997	Low
HG01204	-25.8856	Low
HG01205	-23.4275	Low
HG01241	-19.5765	High
HG01242	-22.8544	Intermediate
HG01247	-20.9912	Intermediate
HG01248	-20.235200000000003	High
HG01250	-23.7882	Low
HG01251	-23.2661	Low
HG01253	-21.8465	Intermediate
HG01254	-22.3856	Intermediate
HG01256	-25.0886	Low
HG01257	-20.466500000000003	Intermediate
HG01259	-20.988800000000005	Intermediate
HG01260	-23.6155	Low
HG01269	-23.00899999999999	Intermediate
HG01271	-23.398700000000005	Low
HG01272	-20.517799999999998	Intermediate
HG01275	-23.6211	Low
HG01277	-19.2665	High
HG01280	-23.8026	Low
HG01281	-19.8675	High
HG01284	-21.5555	Intermediate
HG01286	-23.309999999999995	Low
HG01302	-22.4627	Intermediate
HG01303	-21.0977	Intermediate
HG01305	-17.5769	High
HG01308	-22.9537	Intermediate
HG01311	-23.19580000000001	Intermediate
HG01312	-19.090000000000003	High
HG01323	-18.7182	High
HG01325	-24.1913	Low
HG01326	-22.7063	Intermediate
HG01334	-23.3187	Low
HG01341	-22.9353	Intermediate
HG01342	-23.7766	Low
HG01344	-24.4355	Low
HG01345	-21.8274	Intermediate
HG01348	-17.944000000000006	High
HG01350	-25.1084	Low
HG01351	-22.497000000000003	Intermediate
HG01353	-20.984	Intermediate
HG01354	-21.4069	Intermediate
HG01356	-21.623	Intermediate
