IID	PRS	Risk_Group
HG01606	-3.9612956000000006	Low
HG01607	-3.48237467	Intermediate
HG01608	-2.931751600000001	Intermediate
HG01610	-1.5780661000000002	Intermediate
HG01612	-4.1170483	Low
HG01613	-2.447319799999999	Intermediate
HG01615	-4.213693699999999	Low
HG01617	-2.0919651959999994	Intermediate
HG01618	-3.3712598900000006	Intermediate
HG01619	-2.5048998999999994	Intermediate
HG01620	-2.9214980000000006	Intermediate
HG01623	-3.1066679	Intermediate
HG01624	-2.3244508	Intermediate
HG01625	-1.455025	Intermediate
HG01626	-4.209089799999999	Low
HG01628	-3.1890874	Intermediate
HG01630	-4.4320965	Low
HG01631	-3.1745886	Intermediate
HG01632	-4.148838	Low
HG01668	-3.1998870699999995	Intermediate
HG01669	-2.5433002000000013	Intermediate
HG01670	-3.7167931999999992	Low
HG01672	-2.986267719999999	Intermediate
HG01673	-3.704010499999999	Low
HG01675	-3.3490631000000004	Intermediate
HG01676	-1.348177600000001	Intermediate
HG01678	-4.64554443	Low
HG01679	-3.2789992000000003	Intermediate
HG01680	-5.720842000000001	Low
HG01682	-5.2625321	Low
HG01684	-3.167521399999999	Intermediate
HG01685	-4.705771500000002	Low
HG01686	-1.8274541	Intermediate
HG01694	-2.9965907	Intermediate
HG01695	-3.590618300000001	Low
HG01697	-3.0688498	Intermediate
HG01699	-3.546754800000001	Intermediate
HG01700	-4.052858	Low
HG01702	-4.22586845	Low
HG01704	-2.4387367	Intermediate
HG01705	-2.138781	Intermediate
HG01707	-3.3773208999999995	Intermediate
HG01708	-4.040519000000001	Low
HG01709	-2.3478275900000005	Intermediate
HG01710	-3.4605896000000005	Intermediate
HG01746	-3.5551372699999995	Intermediate
HG01747	-2.7297362	Intermediate
HG01756	-2.210673	Intermediate
HG01757	-3.8964945000000006	Low
HG01761	-2.7891696	Intermediate
HG01762	-2.661434	Intermediate
HG01765	-1.9789481	Intermediate
HG01766	-3.15039118	Intermediate
HG01767	-3.47446452	Intermediate
HG01768	-3.5132761	Intermediate
HG01770	-1.1582478000000005	High
HG01771	-3.9120001	Low
HG01773	-1.9005631000000005	Intermediate
HG01775	-3.6575407	Low
HG01776	-3.1283574	Intermediate
HG01777	-4.1881077	Low
HG01779	-3.5455287	Intermediate
HG01781	-4.3698572	Low
HG01783	-2.3694256	Intermediate
HG01784	-5.3591929	Low
HG01785	-3.896496050000001	Low
HG01786	-3.3753256000000005	Intermediate
HG01789	-3.9090118	Low
HG01790	-1.9895226	Intermediate
HG01791	-2.562890200000001	Intermediate
HG01794	-3.4730633	Intermediate
HG01795	-2.4552671	Intermediate
